EudraCT_No,Title,Phase,Objective,End_date,Sample_size,pr_endpoint,endpoint_description,Treatment,LT_followup,manual_label
2015-002154-12,double blind randomized placebo controlled study investigate efficacy safety cannabidiol gwp42003 p cbd add therapy patient tuberous sclerosis complex experience inadequately controlled seizure,0,double blinded phase dbp evaluate efficacy gwp42003 p add therapy reducing frequency seizure compared placebo subject tuberous sclerosis complex tsc open label extension ole evaluate via adverse event ae profile long term safety tolerability gwp42003 p add therapy child adult tsc experience inadequately controlled seizure,11-Jun-21,224,dbp percent change baseline number tuberous sclerosis complex tsc associated seizure dbp treatment period maintenance titration,tsc associated seizure included focal motor seizure without impairment consciousness awareness type 1 focal motor focal seizure impairment consciousness awareness type 2 focal focal seizure evolving bilateral generalized convulsive seizure type 3 focal tonic clonic tonic clonic atonic seizure countable percent change baseline calculated post baseline value minus baseline value divided baseline value x 100 intent treat itt analysis set subject randomized dosed investigational medicinal product imp trial post baseline efficacy data data analyzed according treatment group subject randomized,GWP42003-P,No,0
2014-002013-37,open label extension study effect leuco methylthioninium bi hydromethanesulfonate subject alzheimera disease behavioral variant frontotemporal dementia,0,primary objective open label extension study provide subject completed participation phase 2 phase 3 trial continued access therapy evaluate long term safety tolerability leuco methylthioninium bi hydromethanesulfonate lmtm hereafter referred international nonproprietary name hydromethylthionine mesylate given flexible do 300 mg day,19-May-17,913,incidence study emergent adverse event,nan,Hydromethylthionine mesylate,No,0
2015-004098-33,study evaluate efficacy safety tolerability pharmacokinetics pharmacodynamics biib067 administered adult subject amyotrophic lateral sclerosis confirmed superoxide dismutase 1 mutation,0,primary objective part b study evaluate safety tolerability pharmacokinetics pk ascending do biib067 tofersen adult al documented superoxide dismutase 1 sod1 mutation secondary objective part b study evaluate effect biib067 level total sod1 protein cerebrospinal fluid csf primary objective part c study evaluate clinical efficacy biib067 administered adult al confirmed sod1 mutation secondary objective part c evaluate safety tolerability pharmacodynamic pd biomarker effect biib067,16-Jul-21,178,part b number subject experiencing adverse event aes serious adverse event saes,ae untoward medical occurrence subject clinical investigation subject administered pharmaceutical product necessarily causal relationship treatment ae therefore unfavorable unintended sign including abnormal laboratory finding symptom disease temporally associated use medicinal investigational product whether related medicinal investigational product sae untoward medical occurrence dose result death life threatening event requires inpatient hospitalization significant disability incapacity congenital anomaly safety population included randomized subject received least 1 dose part 1 dose study treatment biib067 placebo part b,BIIB067-matching Placebo,No,0
2015-002603-29,open label study evaluate efficacy safety revusiran patient transthyretin mediated familial amyloidotic polyneuropathy disease progression post orthotopic liver transplant,0,as efficacy revusiran patient transthyretin ttr amyloidosis hattr amyloidosis polyneuropathy disease progression post orthotopic liver transplant olt evaluating reduction serum ttr level compared baseline,06-Feb-17,12,serum ttr 6 month,percent reduction baseline serum ttr level 6 month,Revusiran,No,2
2017-002447-15,phase 3 randomized double blind parallel group placebo controlled trial evaluate efficacy safety daily subcutaneous injection elamipretide subject primary mitochondrial myopathy followed open label treatment extension,3,primary objective part 1 evaluate effect single daily sc do 40 mg elamipretide administered elamipretide delivery system 24 week â distance walked 6mwt â total fatigue primary mitochondrial myopathy symptom assessmentâ pmmsa part 2 objective as long term safety tolerability single daily sc do 40 mg elamipretide administered elamipretide delivery system 144 week,10-Feb-20,218,six minute walk test 6mwt,change baseline distance walked meter six minute walk test visit,elamipretide,No,1
2018-001003-36,phase 2 randomized double blind placebo controlled study test efficacy safety kpl 301 giant cell arteritis,2,primary objective trial evaluate efficacy kpl 301 versus placebo coadministered 26 week steroid taper maintaining sustained remission 26 week subject new onset relapsing refractory giant cell arteritis gca secondary objective trial evaluate effect kpl 301 v placebo cumulative corticosteroid dose b evaluate effect kpl 301 v placebo health related quality life hrqol c evaluate safety tolerability kpl 301 evaluate pharmacokinetics pk kpl 301,25-Nov-20,70,time flare week 26,nan,KPL-301,Yes,0
2018-004331-71,effect n acetyl l leucine niemann pick disease type c npc multinational multi center open label rater blinded phase ii study,ii,primary objective evaluate efficacy n acetyl l leucine based blinded ratersâ clinical impression change severity ci c treatment npc extension phase primary objective extension phase evaluate efficacy n acetyl l leucine based 5 domain niemann pick type c clinical severity scale npc c success defined change decrease 5 domain npc c score visit 7 visit 9,07-Nov-22,33,clinical impression change severity,primary efficacy endpoint based blinded raters ci c score either 9 hole peg test dominant hand 9hpt 8 meter walk test 8mwt primary endpoint defined ci c comparing end treatment visit 4 baseline visit 2 minus ci c comparing end washout visit 6 end treatment visit 4 one sided wilcoxon signed rank test performed investigate statistical significance primary efficacy endpoint compared value 0 mitt population pseudo median difference ci c using hodges lehmann estimator 1 00 90 ci 0 25 1 75 ci c primary endpoint study reached statistical significance p value 0 029,N-Acetyl-L-Leucine,No,1
2013-003410-41,phase iii randomized multicenter double blind active controlled study compare efficacy safety two different anagrelide formulation patient essential thrombocythemia team et 2 0,iii,primary objective determine whether anagrelide retard non inferior thromboreductinâ term mean platelet count measured central laboratory centralized method three time point maintenance period,14-Apr-15,112,mean platelet count based three measurement maintenance phase,nan,Analgrelide Retard 2mg,No,2
2018-004145-16,12 week multicentre randomized double blind placebo controlled exploratory pilot study evaluate safety efficacy safinamide 200 mg daily add therapy patient possible probable parkinsonian variant multiple system atrophy,0,safety evaluate safety tolerability safinamide 200 mg daily compared placebo efficacy evaluate potential efficacy safinamide 200 mg daily add therapy motor function quality life,05-Jan-21,49,teaes treatment emergent adverse event saes serious adverse event,evaluating safety tolerability safinamide 200 mg od compared placebo severity teaes relationship study drug seriousness consequence assessed teaes defined adverse event aes started first dose study drug,Safinamide,No,0
2015-002939-18,phase 2 double blind randomized placebo controlled pharmacokinetic trial two parallel group investigate possible drug drug interaction stiripentol valproate gwp42003 p patient epilepsy,2,study investigates possible drug drug interaction stiripentol valproate gwp42003 p patient epilepsy,27-May-19,35,double blind dose normalized dn cmax stp vpa,cmax maximum measured plasma concentration blood sample collected pharmacokinetic pk analysis predose 15 30 minute 1 1 5 2 4 6 12 hour postdose 999 analysis conducted treatment arm time point n number subject evaluable data pk analysis set includes subject enrolled trial received least 1 dose gwp42003 p placebo provided treatment data,GWP42003-P,No,2
2014-005012-42,phase 4 double blind randomized placebo controlled multicenter study evaluating effect obeticholic acid clinical outcome subject primary biliary cholangitis cobalt study clinical outcome obeticholic acid liver treatment cobalt,4,objective study as long term efficacy obeticholic acid oca compared placebo conjunction established local standard care clinical outcome participant primary biliary cholangitis pbc measured time first occurrence following adjudicated event derived composite event endpoint death cause liver transplant model end stage liver disease meld â 15 uncontrolled ascites hospitalization new onset recurrence variceal bleed hepatic encephalopathy spontaneous bacterial peritonitis expanded composite event endpoint including event mentioned additional event meld na â 15 portal hypertension syndrome progression decompensated liver disease progression clinical evidence portal hypertension without decompensation,23-Dec-21,334,time first occurrence composite endpoint,as effect oca compared placebo conjunction established local standard care clinical outcome participant pbc measured time first occurrence following adjudicated event derived composite event endpoint death liver transplant model end stage liver disease meld 15 uncontrolled ascites hospitalization new onset recurrence variceal bleed hepatic encephalopathy defined west score 2 spontaneous bacterial peritonitis clinical event distribution estimated using kaplan meier methodology point estimate 95 confidence interval ci clinical event distribution percentile 25th 50th provided 9999 represents data calculable due insufficient clinical event 95 ci limit estimable due insufficient number participant clinical event indicated 9999,Obeticholic Acid,No,0
2013-001150-10,randomized double blind placebo controlled multi center trial evaluate safety efficacy eculizumab patient relapsing neuromyelitis optica nmo,0,objective time event study as efficacy safety eculizumab compared placebo participant neuromyelitis optica spectrum disorder nmosd anti aquaporin 4 aqp4 antibody positive,17-Jul-18,143,participant adjudicated trial relapse,trial relapse defined new onset neurologic symptom worsening existing neurologic symptom objective change clinical sign neurologic examination persisted 24 hour confirmed treating physician adjudicated trial relapse defined protocol positively adjudicated relapse adjudication committee,Eculizumab,No,0
2012-000128-16,randomized open label phase 3 study carfilzomib plus dexamethasone versus bortezomib plus dexamethasone patient relapsed multiple myeloma,3,primary objective study compare progression free survival patient multiple myeloma relapsed 1 3 prior therapy treated carfilzomib plus dexamethasone bortezomib plus dexamethasone,05-Feb-18,929,progression free survival,progression free survival pfs defined time randomization earlier disease progression death due cause participant evaluated disease response progression according international myeloma working group uniform response criterion imwg urc assessed independent review committee irc median pfs estimated using kaplan meier method participant baseline disease assessment starting new anticancer therapy documentation disease progression death death disease progression immediately 1 consecutively missed disease assessment visit alive without documentation disease progression data cut date censored 99999 indicates data could estimated,Carfilzomib,Yes,2
2014-000995-24,double blind placebo controlled two part study investigate dose ranging safety pharmacokinetics followed efficacy safety cannabidiol gwp42003 p child young adult dravet syndrome,0,part evaluate safety multiple do gwp42003 p compared placebo respect â incidence type severity adverse event aes â effect vital sign physical examination parameter including weight â effect 12 lead electrocardiogram ecg finding â effect laboratory parameter â change seizure frequency part b â as efficacy gwp42003 p adjunctive antiepileptic treatment compared placebo respect percentage change baseline treatment period study convulsive seizure frequency,26-Nov-15,154,part number participant experienced severe treatment emergent adverse event teaes,teae defined ae onset date first dose investigational medicinal product imp ae partial onset date unclear partial date stop date whether ae started prior following first dose imp ae considered teae number participant experienced one severe teaes dosing day 1 safety follow visit day 60 shown summary serious non serious aes regardless causality located adverse event module,GWP42003-P,Yes,0
2020-004085-19,phase 3 randomized open label parallel group study compare pharmacodynamics pharmacokinetics efficacy safety tolerability immunogenicity multiple subcutaneous injection efgartigimod ph20 sc multiple intravenous infusion efgartigimod patient generalized myasthenia gravis,3,demonstrate pharmacodynamic pd effect injection 1000 mg efgartigimod ph20 sc efgartigimod coformulated recombinant human hyaluronidase ph20 subcutaneous administration administered weekly 4 administration ni noninferior iv infusion efgartigimod efgartigimod formulation intravenous infusion dose 10 mg kg administered weekly 4 administration secondary objective compare pd effect efgartigimod ph20 sc efgartigimod iv time evaluate pharmacokinetics pk efgartigimod ph20 sc efgartigimod iv evaluate safety tolerability immunogenicity efgartigimod ph20 sc efgartigimod iv evaluate clinical efficacy efgartigimod ph20 sc efgartigimod iv,13-Dec-21,111,percent reduction baseline total igg level day 29 mitt analysis set,ancova analysis percent change baseline total igg level day 29 ie 7 day fourth iv sc administration result consistent ancova analysis repeated per protocol analysis set achr ab seropositive population mitt analysis set,Efgartigimod,Yes,2
2014-001834-27,open label extension study investigate safety cannabidiol gwp42003 p cbd child adult inadequately controlled dravet lennox gastaut syndrome,0,study conducted evaluate long term safety tolerability gwp42003 p adjunctive treatment child adult inadequately controlled dravet syndrome lennox gastaut syndrome,24-Sep-20,681,number subject treatment emergent adverse event teae occuring â 5 subject treatment group,teaes defined aes started worsened severity seriousness following first dose investigational medicinal product study reported aes continued core study gwep1332a nct02091206 gwep1332b nct02091375 gwep1424 nct02224703 gwep1414 nct02224560 gwep1423 nct02224690 classified treatment emergent worsened study,GWP42003-P,No,0
2015-005749-30,randomized doubleblind placebo controlled multicenter trial evaluate safety efficacy rituximab mabthera subject new onset myasthenia gravis rinomax study,0,evaluate rituximab effective placebo achieve minimal disease manifestation defined qmg score â 4 daily dose prednisolone â 10 mg week 16 need rescue treatment procedure study week 9 16,22-Nov-21,47,minimal disease manifestation week 16,minimal disease manifestation defined qmg score 4 daily dose prednisolone 10 mg week 16,Sodiumchloride,No,0
2014-005432-33,phase 3 randomized double blind placebo controlled study evaluate efficacy safety sialic acid extended release tablet patient gne myopathy gnem hereditary inclusion body myopathy hibm,3,evaluate effect 6 g day sa er treatment subject gnem upper extremity muscle strength uec score measured dynamometry,09-Jun-17,89,change baseline uec score total force kg week 48,muscle strength based mvic dynamometer measured bilaterally following upper extremity muscle group gross grip shoulder abductor elbow flexor elbow extensor uec derived sum average right left total force value measured kg,sialic acid (INN: aceneuramic acid),No,1
2020-002812-36,randomized parallel arm double blind placebo controlled study open label extension as efficacy safety vatiquinone treatment friedreich ataxia move fa,0,primary objective study evaluate efficacy using modified friedreich ataxia rating scale mfars safety vatiquinone participant friedreich ataxia fa,02-Oct-23,146,change baseline mfars score week 72 modified intent treat mitt analysis set,mfars 93 item scale comprised neurologic component friedreich ataxia rating scale far item response categorize corresponding neurological finding score ranging 0 3 4 5 0 normal higher number indicative greater impairment total mfars score subscale bulbar 0 5 upper limb coordination 0 36 lower limb coordination 0 16 upright stability 0 36 mfars total score composite score 4 subscales ranging 0 normal 93 greater impairment lower score better neurological function missing data imputed using pattern mix model multiple imputation least square l mean standard error se calculated using mixed model repeated measure mmrm mitt analysis set included randomized participant age 7 21 year received least 1 dose study drug baseline least 1 postbaseline measurement primary endpoint,Vatiquinone,No,0
2019-000309-64,phase 2 open label single arm multi center study al101 patient adenoid cystic carcinoma acc bearing activating notch mutation,2,as clinical activity al101 using radiographic assessment recist v1 1 acc patient activating notch mutation,15-Jul-22,87,overall response rate orr,orr defined partial response pr complete response cr assessed investigator based response evaluation criterion solid tumor recist v1 1 target lesion assessed mri complete response cr disappearance target lesion partial response pr least 30 decrease sum diameter target lesion taking reference baseline sum diameter,AL101,No,0
2013-002191-41,phase iii open label extension trial ecu mg 301 evaluate safety efficacy eculizumab subject refractory generalized myasthenia gravis gmg,iii,evaluate safety efficacy eculizumab treatment refractory generalized myasthenia gravis gmg extension study participant completed study ecu mg 301 2013 003589 15,15-Jan-19,117,count participant treatment emergent adverse event,treatment emergent adverse event teaes adverse event onset first study drug dose study ecu mg 302 likewise treatment emergent serious adverse event tesaes serious adverse event onset first study drug dose study ecu mg 302 summary serious non serious adverse event regardless causality located adverse event module,Eculizumab,No,0
2015-003453-18,randomized single blinded cross study investigating non inferiority efficacy safety hyqvia comparison conventional subcutaneous ig therapy multifocal motor neuropathy,0,as efficacy immunoglobulin administered together hyaluronidase hyqvia large do subcutaneously compared conventional treatment subcutaneous immunoglobulin subcuvia patient mmn,03-May-18,20,normalized isometric strength,nan,Pre-study conventional subcutaneous immune globuline,No,1
2015-002378-19,international multi center randomized double blind placebo controlled phase iii study assessing parallel group efficacy safety 2 do pxt3003 patient charcot marie tooth disease type 1a treated 15 month,iii,as efficacy 2 do pxt3003 compared placebo disability measured overall neuropathy limitation scale onls score cmt1a patient treated 15 month,22-Mar-18,323,mean onls total score month 12 month 15,primary efficacy variable mean onls score month 12 month 15 onls value month 12 alone month 15 value available onls disability scale derived improved overall disability sum score measure limitation everyday activity upper limb rated 5 point lower limb rated 7 point total score go 0 disability 12 maximum disability lower value onls indicate better clinical condition reported value value baseline base average available value month 12 month 15 fin,PXT3003,Yes,0
2015-003113-15,randomized double blind placebo controlled phase 2 study evaluate efficacy safety qpi 1002 prevention acute kidney injury subject high risk aki following cardiac surgery,2,â as efficacy single intravenous iv infusion qpi 1002 preventing acute kidney injury aki subject high risk aki following cardiac surgery â as safety tolerability iv infusion qpi 1002 comparison placebo administered subject high risk aki following cardiac surgery,05-Mar-18,341,number subject developing aki defined akin criterion using serum creatinine,primary endpoint study proportion subject developed aki defined akin criterion stage 1 stage 2 stage 3 day 5 using scr,QPI-1002,No,2
2014-003135-19,randomized double blind placebo controlled fixed dose study sd 809 deutetrabenazine treatment moderate severe tardive dyskinesia,0,objective study evaluate efficacy fixed do sd 809 reduce severity abnormal involuntary movement td evaluate safety tolerability fixed do sd 809 patient td,19-Aug-16,298,change total motor abnormal involuntary movement scale aim score baseline week 12 using mixed model repeated measure mmrm,aim assessment tool used detect follow severity tardive dyskinesia td time aim composed 12 clinician administered scored item exam digitally video recorded using standard protocol independently reviewed blinded central raters expert movement disorder outcome sum item 1 7 cover orofacial movement well extremity truncal dyskinesia total motor aim score rating based 5 point scale severity 0 none 1 minimal 2 mild 3 moderate 4 severe total scale 0 28 negative change baseline score indicates improvement mmrm treatment group visit treatment group visit interaction baseline use dopamine receptor antagonist dras fixed effect baseline value covariate model fit using unstructured covariance structure,Placebo,No,0
2019-001003-20,phase ii open label multicenter study as efficacy safety afm13 patient relapsed refractory cd30 positive peripheral cell lymphoma transformed mycosis fungoides redirect,ii,as antitumor activity afm13 independent review committee confirmed overall response rate orr,,108,overall response rate assessed independent review committee based pet ct,overall response positron emission tomography computed tomography pet ct defined achieving complete response partial response assessed independent review committee irc utilizing modified lugano classification revised staging system malignant lymphoma cheson 2014,AFM13,No,2
2014-002941-23,randomized double blind placebo controlled study investigate efficacy safety cannabidiol gwp42003 p cbd adjunctive treatment seizure associated lennox gastaut syndrome child adult,0,evaluate efficacy gwp42003 p adjunctive treatment reducing number drop seizure compared placebo participant lennox gastaut syndrome lgs,18-Mar-16,171,percentage change baseline drop seizure frequency treatment period,drop seizure recorded participant caregiver using interactive voice response system ivrs diary drop seizure defined subset tonic clonic tonic atonic seizure reported drop seizure ivrs percentage change baseline calculated frequency treatment period frequency baseline frequency baseline 100 frequency period based 28 day average calculated number seizure period number reported day ivrs period 28 baseline included available data prior day 1 28 day average negative percentage show improvement baseline,GWP42003-P,Yes,0
2012-001888-78,multicenter single arm open label study pomalidomide combination low dose dexamethasone subject refractory relapsed refractory multiple myeloma,0,evaluate safety combination pomalidomide pom low dose dexamethasone ld dex large cohort subject refractory multiple myeloma mm relapsed refractory mm,11-Dec-19,682,number participant treatment emergent adverse event teae,adverse event ae noxious unintended untoward medical occurrence may appear worsen subject course study may new intercurrent illness worsening concomitant illness injury concomitant impairment subject health regardless etiology worsening e significant adverse change frequency intensity pre existing condition considered ae severity aes graded based symptom according version 4 0 national cancer institute common terminology criterion adverse event second primary malignancy monitored event interest considered part assessment aes sae ae occurring dose result death life threatening requires inpatient hospitalization prolongation existing hospitalization result persistent significant disability incapacity congenital anomaly birth defect safety pop analyzed,Pomalidomide,Yes,0
2014-005496-87,phase iii study evaluate efficacy safety tolerability immune globulin infusion 10 human recombinant human hyaluronidase hyqvia hyqvia immune globulin infusion human 10 gammagard liquid kiovig treatment chronic inflammatory demyelinating polyradiculoneuropathy cidp,iii,main objective trial evaluate efficacy hyqvia hyqvia maintenance therapy cidp prevent relapse neuromuscular disability impairment,23-Feb-22,132,epoch 1 relapse rate,relapse rate defined percentage participant experience worsening functional disability worsening functional disability defined increase 1 point relative pre subcutaneous sc treatment baseline score 2 consecutive adjusted inflammatory neuropathy cause treatment incat disability score incat disability score effective responsive tool as clinical response treatment cidp disability score range 0 10 point 0 normal eg upper limb problem walking affected 10 severely incapacitated eg inability move either arm purposeful movement restricted wheelchair unable stand walk step help,0.25% albumin placebo solution with rHuPH20,Yes,0
2015-001641-89,phase iii randomized clinical trial lurbinectedin pm01183 doxorubicin dox versus cyclophosphamide ctx doxorubicin dox vincristine vcr cav topotecan treatment patient small cell lung cancer sclc failed one prior platinum containing line atlantis trial,iii,main purpose study determine difference overall survival lurbinectedin dox experimental arm topotecan cyclophosphamide doxorubicin vincristine control arm sclc subject failure one prior platinum containing line,24-Feb-20,613,overall survival,defined time date randomization date death death event last contact survival censored date intention treat itt population included subject randomized either treatment arm independently whether received study drug analyzed group allocated,Lurbinectedin,No,0
2015-001758-14,multicenter randomized double blind placebo controlled parallel group study evaluate efficacy safety sirukumab treatment patient giant cell arteritis,0,investigate efficacy sirukumab 100 mg q2w 12 month compared placebo administered addition 6 month prednisone treatment regimen,20-Mar-18,161,part number participant sustained remission week 52,sustained remission defined achieved following 1 remission week 12 2 absence disease flare week 12 week 52 3 completion assigned prednisone taper 4 requirement rescue therapy week 52 remission defined absence clinical sign symptom gca normalization erythrocyte sedimentation rate esr 30 millimeter per hour c reactive protein crp 1 milligram deciliter flare defined recurrence symptom attributable active gca without elevation esr crp data number participant sustained remission week 52 presented participant completed week 52 visit withdrew 10 oct 2017 included analysis,Sirukumab,No,2
2018-000665-36,randomized open label phase 3 study comparing weekly v twice weekly carfilzomib combination lenalidomide dexamethasone subject relapsed refractory multiple myeloma r r w 2,3,investigate efficacy sirukumab 100 mg q2w 12 month compared placebo administered addition 6 month prednisone treatment regimen,31-Mar-23,454,overall response rate orr per international myeloma working group uniform response criterion imwg urc,orr defined percentage participant best overall response stringent complete response scr complete response cr good partial response vgpr partial response pr per imwg urc cr negative immunofixation serum urine soft tissue plasmacytoma disappearance 5 plasma cell bone marrow bm scr cr normal serum free light chain ratio clonal cell bm immunohistochemistry vgpr serum urine protein detectable immunofixation 90 reduction serum protein urine protein level 100 mg 24 hour pr 50 reduction serum protein reduction 24 hour urinary protein 90 200 mg 24 hour orr 95 confidence interval ci estimated using clopper pearson method intent treat itt population included randomized participant,Carfilzomib,Yes,2
2015-004318-14,phase 2b randomized double blind placebo controlled study neod001 previously treated subject light chain al amyloidosis persistent cardiac dysfunction,2b,objective study determine efficacy safety neod001 versus placebo subject al amyloidosis persistent cardiac dysfunction,05-Mar-18,129,cardiac best response,n terminal pro brain natriuretic peptide nt probnp best response response non response stable progression baseline 12 month treatment,NEOD001 24 mg/kg,No,2
2015-000392-28,senscisa double blind randomised placebo controlled trial evaluating efficacy safety oral nintedanib treatment least 52 week patient systemic sclerosisassociated interstitial lung diseasea ssc ild,0,investigate efficacy safety nintedanib 150 mg twice daily bid patient ssc ild,28-Nov-18,819,annual rate decline forced vital capacity fvc 52 week,forced vital capacity fvc total amount air exhaled lung function test endpoint reported mean represent adjusted rate,Placebo,No,1
2016-000287-42,multicentre open label phase ii study daratumumab al amyloidosis patient vgpr better,ii,as overall hematologic response rate cr vgpr completion 6 cycle daratumumab patient al amyloidosis cr vgpr previous therapy,27-Sep-19,40,vgpr better completion 6 daratumumab cycle,nan,daratumumab,No,0
2013-004157-24,multicenter open label extension study investigate long term safety efficacy igpro20 maintenance treatment chronic inflammatory demyelinating polyneuropathy cidp subject completing study igpro20_3003,0,evaluate long term safety efficacy igpro20,10-Jul-17,82,overall rate adverse event aes per infusion sd,nan,IgPro20,No,0
2015-003931-36,randomized double blind placebo controlled crossover road driving study assessing effect jzp 110 driving performance subject excessive sleepiness due narcolepsy,0,1 evaluate effect jzp 110 driving performance,19-May-19,24,standard deviation lateral position sdlp 2 hour post dose approximately tmax,subject instructed drive steady lateral position delineated boundary slower right traffic lane maintaining constant speed 95 kilometer km per hour hr deviation measured vehicle speed lateral distance left lane line continuously recorded individual improvement defined decrease sdlp negative value threshold individual impairment defined increase sdlp threshold failure complete driving test due sleepiness subject related safety concern,Placebo,No,0
2021-001711-85,prospective international multi centre open label single arm phase ii study investigating predictive value 68ga ga pentixafor pet imaging primary isolated secondary cns lymphoma patient,ii,evaluate negative predictive value npv 68ga ga pentixafor ptf pet interim examination 6 â 2 week induction chemotherapy progression free survival pfs,29-Mar-23,1,npv 68ga ga pentixafor ptf pet pfs,negative predictive value npv ptf pet interim examination 6 2 week induction chemotherapy progression free survival pfs,[68Ga]Ga-PentixaFor,No,2
2012-003921-13,combination therapy pulmonary hypertension using racecadotril compare,0,trial aim generate data efficacy safety racecadotril patient pulmonary hypertension ph taking sildenafil tadalafil step 1 step 1a 1b carried identify safe dose racecadotril pulmonary systemic haemodynamics aim confirm single dose racecadotril effectively inhibits enzyme neutral endopeptidase nep without causing unacceptable adverse effect aim step 2 investigate safety pharmacological effect racecadotril six minute walk test haemodynamics biomarkers 12 14 day repeat dosing study hypothesis tested racecadotril administered single repeat dosing increase plasma atrial natriuretic peptide anp concentration patient ph,05-Apr-17,21,step 1 maximum percentage change baseline anp,maximum percentage change log transformed anp post baseline two treatment racecadotril placebo,Racecadotril,No,2
2016-001955-29,efficacy safety tolerability fosmetpantotenate 024 phosphopantothenate replacement therapy patient pantothenate kinase associated neurodegeneration pkan randomized double blind placebo controlled study open label extension,0,evaluate efficacy safety tolerability fosmetpantotenate 24 week subject pantothenate kinase associated neurodegeneration pkan,30-Dec-19,84,change baseline pantothenate kinase associated neurodegenerationâ activity daily living pkan adl total score end 24 week double blind period,change baseline week 24 activity daily living assessed pkan adl scale based unified parkinson disease rating scale updrs part ii,Placebo,No,1
2013-003368-29,efficacy vas203 patient moderate severe traumatic brain injury confirmatory placebo controlled randomised double blind multi centre study,0,demonstrate efficacy vas203 clinical outcome 6 month extended glasgow outcome scale interview ego patient suffering moderate severe traumatic brain injury tbi,17-Jun-20,224,ego 6 month tbi,extended glasgow outcome scale,Ronopterin,No,0
2018-000241-39,prospective multi center double blind randomized placebo controlled parallel group phase 3 study as efficacy safety clazosentan preventing clinical deterioration due delayed cerebral ischemia dci adult subject aneurysmal subarachnoid hemorrhage asah,3,determine efficacy clazosentan preventing clinical deterioration due dci subject asah,18-Nov-22,406,occurrence clinical deterioration due delayed cerebral ischemia dci study drug initiation 14 day post study drug initiation,clinical deterioration due delayed cerebral ischemia defined worsening least 2 point compared reference score modified glasgow coma scale abbreviated national institute health stroke scale anihss lasting least 2 hour cannot entirely attributed cause cerebral vasospasm centrally adjudicated clinical event committee cec based written charter review clinical data case narrative angiogram computed tomography scan,Clazosentan,No,0
2018-003618-41,open label extension study mom m281 004 evaluate safety tolerability efficacy m281 administered patient generalized myasthenia gravis,0,main objective trial evaluate long term safety tolerability nipocalimab subject generalized myasthenia gravis gmg,22-Jun-20,37,number subject treatment emergent adverse event teaes,number subject teaes reported adverse event ae untoward medical event occurs subject administered investigational product necessarily indicate event clear causal relationship relevant investigational product teaes defined ae occurring initiation first infusion study drug study safety analysis set included subject received least 1 dose study drug nipocalimab per planned analysis data reported individual arm total subject,Nipocalimab,No,0
2013-003752-21,multicenter randomized addition baseline treatment double blind placebo controlled phase iii study evaluate efficacy safety satralizumab sa237 patient neuromyelitis optica nmo nmo spectrum disorder nmosd,iii,main objective study evaluate efficacy satralizumab compared placebo addition baseline immunosuppressive treatment participant neuromyelitis optica nmo nmo spectrum disorder nmosd,23-Dec-22,85,time first protocol defined relapse tfr double blind period,tfr defined time randomization first occurrence relapse db period protocol defined relapse occurrence new worsening neurological symptom attributable neurological neuromyelitis optica nmo neuromyelitis optica spectrum disorder nmosd adjudicated independent clinical endpoint committee cec symptom persist 24 hour attributable confounding clinical factor e g fever infection injury change mood adverse reaction medication new worsening neurological symptom occurred 31 day following onset protocol defined relapse considered part relapse e 2 relapse onset day 30 day one another counted 1 relapse onset date used analysis date first relapse,Satralizumab,Yes,0
2014-005429-11,phase 3 randomized double blind placebo controlled study ly2951742 long term open label extension patient chronic cluster headache,3,main purpose study evaluate efficacy study drug known galcanezumab participant chronic cluster headache,14-Aug-19,237,overall mean change baseline weekly cluster headache attack frequency,number cluster headache attack recorded daily study participant epro diary baseline 12 week daily data double blind treatment phase converted 14 calendar day interval baseline 14 day interval week 1 2 3 4 5 6 7 8 9 10 11 12 next biweekly interval result adjusted 7 day weekly interval order report outcome weekly frequency overall mean change baseline derived mixed model repeated measure mmrm analysis least square l mean calculated using mmrm model treatment sex verapamil use pooled investigative site week baseline treatment week fixed effect analysis population description randomized participant received least 1 dose study drug baseline least one post baseline value,Placebo,No,0
2018-002247-28,phase 2 multicenter randomized double blind placebo controlled study evaluate safety tolerability efficacy pharmacokinetics pharmacodynamics nipocalimab administered adult generalized myasthenia gravis,2,objective trial evaluate efficacy nipocalimab generalized myasthenia gravis gmg measured change myasthenia gravis â activity daily living mg adl score evaluate safety tolerability treatment nipocalimab subject gmg insufficient clinical response ongoing stable standard care therapy,25-Jun-20,68,number subject treatment emergent adverse event special interest aesi,ae untoward medical event occurs subject administered investigational product necessarily indicate event clear causal relationship relevant investigational product teaes defined ae occurring initiation first infusion study drug study common terminology criterion adverse event ctcae grade 3 higher event severe infection hypoalbuminemia considered aesi safety population included subject received amount nipocalimab placebo,Placebo,No,0
